date,nonfarm_payroll,payroll_delta_1m,payroll_delta_3m,payroll_delta_6m,payroll_delta_12m,payroll_diff_12m_1m,payroll_diff_12m_3m,payroll_diff_12m_6m,policy_rate,policy_rate_1m_ago,policy_rate_delta_1m,policy_rate_3m_ago,policy_rate_delta_3m,policy_rate_6m_ago,policy_rate_delta_6m,policy_rate_12m_ago,policy_rate_delta_12m,CPI,CPI_delta_1m,CPI_delta_3m,CPI_delta_6m,CPI_delta_12m,yield_10y,yield_3m,yield_10y_1m_ago,yield_10y_delta1m,yield_10y_3m_ago,yield_10y_delta3m,yield_10y_6m_ago,yield_10y_delta6m,yield_10y_12m_ago,yield_10y_delta12m,yield_spread,sp500,sp500_delta_1m,sp500_delta_3m,sp500_delta_6m,sp500_delta_12m,vol_30d,recession,recession_3m,recession_6m,recession_12m
1956-05-01,52506.0,0.2501193317422379,0.6498361032836852,1.7715924949604611,3.9475768134304756,3.6974574816882377,3.2977407101467904,2.1759843184700145,2.75,2.62,0.1299999999999999,2.5,0.25,2.35,0.3999999999999999,1.43,1.32,27.03,0.3713330857779473,0.6329113924050667,0.5580357142857206,0.9712364587224576,3.07,2.61,3.18,-0.11000000000000032,2.84,0.22999999999999998,2.89,0.17999999999999972,2.76,0.31000000000000005,0.45999999999999996,45.20000076293945,-6.572964520398816,-0.30877677365964695,-0.681163634425086,19.229757174543984,0.8504541414003841,1.0,1.0,1.0,1.0
1956-06-01,52586.0,0.15236353940502045,0.5583814586759495,1.5075764887559018,3.536129159283319,3.3837656198782984,2.9777477006073694,2.028552670527417,2.71,2.75,-0.040000000000000036,2.5,0.20999999999999996,2.48,0.22999999999999998,1.64,1.07,27.15,0.443951165371792,0.9669021941242084,1.0420543356903567,1.647323099962561,3.0,2.49,3.07,-0.06999999999999984,2.96,0.040000000000000036,2.96,0.040000000000000036,2.78,0.2200000000000002,0.5099999999999998,46.970001220703125,3.9159301501935806,-3.114683035872712,3.276169070940882,14.477218177260776,0.8814392049871566,1.0,1.0,1.0,1.0
1956-07-01,51955.0,-1.1999391473015653,-0.8019093078758921,-0.03848003848003767,1.8985231529605517,3.098462300262117,2.700432460836444,1.9370031914405894,2.75,2.71,0.040000000000000036,2.62,0.1299999999999999,2.45,0.2999999999999998,1.68,1.07,27.29,0.5156537753222779,1.3367991088006015,1.7144986954901187,1.9805680119581393,3.11,2.31,3.0,0.10999999999999988,3.18,-0.07000000000000028,2.9,0.20999999999999996,2.9,0.20999999999999996,0.7999999999999998,49.38999938964844,5.152220792105577,2.0876360050327447,12.711090218200338,13.488048874405735,0.43565550234392925,1.0,1.0,1.0,1.0
1956-08-01,52631.0,1.3011259744009296,0.23806803032033752,0.8894511856154308,2.9739195085206616,1.672793534119732,2.735851478200324,2.0844683229052308,2.73,2.75,-0.020000000000000018,2.75,-0.020000000000000018,2.5,0.22999999999999998,1.96,0.77,27.31,0.07328691828507594,1.0358860525342184,1.6753536857781137,2.208083832335328,3.33,2.6,3.11,0.2200000000000002,3.07,0.26000000000000023,2.84,0.4900000000000002,2.97,0.3599999999999999,0.73,47.5099983215332,-3.806440759967411,5.110613981422252,4.78605681879658,10.027785979052917,0.7798249405402315,1.0,1.0,1.0,1.0
1956-09-01,52604.0,-0.05130056430621144,0.034229642870720056,0.5928022335258243,2.6099169039909498,2.661217468297161,2.5756872611202297,2.0171146704651255,2.95,2.73,0.2200000000000002,2.71,0.2400000000000002,2.5,0.4500000000000002,2.18,0.77,27.35,0.1464664957890882,0.7366482504604255,1.7106731126812935,1.862197392923659,3.38,2.84,3.33,0.04999999999999982,3.0,0.3799999999999999,2.96,0.41999999999999993,2.97,0.4099999999999997,0.54,45.34999847412109,-4.546411121284189,-3.449015764274632,-6.456272891232906,3.8470354376393345,0.8848455702046871,1.0,1.0,1.0,1.0
1956-10-01,52777.0,0.32887232910043807,1.5821383889904617,0.7675417661097805,2.6210892687005494,2.2922169396001113,1.0389508797100877,1.8535475025907688,2.96,2.95,0.009999999999999787,2.75,0.20999999999999996,2.62,0.33999999999999986,2.24,0.7199999999999998,27.51,0.5850091407678226,0.8061561011359464,2.153731897512068,2.572706935123037,3.34,2.9,3.38,-0.040000000000000036,3.11,0.22999999999999998,3.18,0.1599999999999997,2.88,0.45999999999999996,0.43999999999999995,45.58000183105469,0.5071739022546096,-7.714107320665975,-5.787513797526311,7.6523421511342615,0.8098397910901628,1.0,1.0,1.0,1.0
1956-11-01,52821.0,0.08336964965800497,0.361003971043683,0.5999314364072639,2.382152271670024,2.298782622012019,2.021148300626341,1.78222083526276,2.88,2.96,-0.08000000000000007,2.73,0.1499999999999999,2.75,0.1299999999999999,2.35,0.5299999999999998,27.51,0.0,0.7323324789454411,1.7758046614872347,2.34375,3.49,2.99,3.34,0.15000000000000036,3.33,0.16000000000000014,3.07,0.4200000000000004,2.89,0.6000000000000001,0.5,45.08000183105469,-1.0969723122286945,-5.114705485849614,-0.26548435809575777,-0.9448396096183975,0.8606500767426581,1.0,1.0,1.0,1.0
1956-12-01,52929.0,0.20446413358323756,0.6178237396395669,0.6522648613699555,2.169674741820282,1.9652106082370446,1.5518510021807153,1.5174098804503267,2.94,2.88,0.06000000000000005,2.95,-0.010000000000000231,2.71,0.22999999999999998,2.48,0.45999999999999996,27.63,0.4362050163576825,1.023765996343684,1.7679558011049812,2.828433196873825,3.59,3.21,3.49,0.09999999999999964,3.38,0.20999999999999996,3.0,0.5899999999999999,2.96,0.6299999999999999,0.3799999999999999,46.66999816894531,3.527054732272239,2.9106940225752886,-0.6387120373877675,2.6165317473318295,0.7724372078618211,1.0,1.0,1.0,1.0
1957-01-01,52887.0,-0.0793515841976955,0.20842412414499023,1.7938600712154695,1.7546897546897533,1.8340413388874488,1.546265630544763,-0.03917031652571623,2.84,2.94,-0.10000000000000009,2.96,-0.1200000000000001,2.75,0.08999999999999986,2.45,0.3899999999999997,27.67,0.1447701773434673,0.58160668847691,1.3924514474166427,3.130823704808061,3.46,3.11,3.59,-0.1299999999999999,3.34,0.1200000000000001,3.11,0.3500000000000001,2.9,0.56,0.3500000000000001,44.720001220703125,-4.178266605417901,-1.8867937161108794,-9.455351744596474,2.0538601829000136,0.5857854499224527,1.0,1.0,1.0,1.0
1957-02-01,53097.0,0.3970730047081483,0.5225194524904886,0.8854097395071259,1.7827362125481638,1.3856632078400155,1.2602167600576752,0.897326473041038,3.0,2.84,0.16000000000000014,2.88,0.1200000000000001,2.73,0.27,2.5,0.5,27.8,0.46982291290205147,1.0541621228643994,1.7942145734163306,3.4996276991809516,3.34,3.1,3.46,-0.1200000000000001,3.49,-0.15000000000000036,3.33,0.009999999999999787,2.84,0.5,0.23999999999999977,43.2599983215332,-3.264764891137828,-4.037274701856209,-8.945485477051152,-4.587564675903444,0.6895196814737304,1.0,1.0,1.0,1.0
